Time(s),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
2.164,0.131000,0.034000,0.301000,0.267000,-0.033000,0.291000,-0.033000,0.000000,0.280000,-0.032000,-0.020000,0.000000,-0.062000,0.000000
2.224,0.317000,0.170000,0.633000,0.734000,0.000000,0.258000,0.000000,-0.065000,0.670000,-0.150000,-0.020000,-0.092000,-0.031000,0.000000
2.284,0.349000,0.476000,0.764000,1.463000,0.033000,0.388000,0.227000,0.000000,1.433000,0.000000,0.163000,-0.092000,-0.031000,0.000000
2.366,0.415000,0.102000,0.895000,2.133000,-0.165000,0.667000,0.195000,0.066000,1.948000,-2.734000,-2.826000,-0.092000,-0.031000,0.031000
2.413,0.448000,-0.035000,0.831000,3.043000,-0.288000,1.109000,0.227000,0.282000,2.623000,0.130000,-0.312000,-0.061000,-0.062000,0.000000
2.470,0.480000,0.000000,0.966000,3.450000,-0.320000,1.044000,0.293000,0.315000,2.755000,-0.032000,0.163000,-0.092000,-0.062000,0.063000
2.519,0.448000,0.238000,1.067000,3.382000,-0.165000,1.012000,0.444000,0.282000,2.979000,0.380000,0.521000,-0.123000,-0.031000,0.094000
2.645,0.448000,0.340000,1.169000,3.314000,-0.132000,1.012000,0.346000,0.348000,3.012000,0.347000,0.488000,-0.092000,0.040000,0.031000
2.726,0.480000,0.510000,1.067000,3.280000,-0.099000,1.077000,0.379000,0.380000,3.079000,0.445000,0.423000,-0.092000,0.000000,0.000000
2.803,0.480000,0.442000,1.101000,3.144000,-0.033000,0.959000,0.423000,0.380000,3.079000,0.575000,0.575000,-0.031000,-0.031000,0.063000
2.837,0.579000,0.646000,1.236000,3.043000,0.065000,1.044000,0.477000,0.348000,3.145000,0.510000,0.575000,0.031000,-0.062000,0.063000
2.883,0.448000,0.476000,1.202000,2.975000,-0.033000,1.044000,0.379000,0.380000,3.244000,0.412000,0.607000,-0.123000,0.071000,0.031000
2.946,0.480000,0.612000,1.202000,3.043000,0.000000,1.077000,0.412000,0.413000,3.178000,0.477000,0.673000,-0.092000,-0.031000,0.031000
3.005,0.480000,0.578000,1.199000,2.975000,0.033000,1.012000,0.423000,0.478000,3.211000,0.608000,0.607000,0.000000,0.000000,0.126000
3.083,0.579000,0.544000,1.233000,3.009000,0.065000,1.044000,0.444000,0.413000,3.244000,0.608000,0.640000,-0.092000,0.000000,0.031000
3.139,0.480000,0.510000,1.233000,2.975000,0.033000,1.012000,0.509000,0.413000,3.370000,0.543000,0.738000,-0.061000,0.040000,0.000000
3.191,0.480000,0.544000,1.202000,2.941000,0.000000,1.044000,0.423000,0.413000,3.271000,0.543000,0.673000,-0.061000,-0.062000,0.031000
3.284,0.480000,0.510000,1.236000,2.873000,0.033000,1.109000,0.760000,0.511000,3.271000,0.673000,0.673000,0.000000,-0.062000,0.031000
3.311,0.480000,0.510000,1.199000,2.839000,0.189000,1.012000,0.444000,0.413000,3.337000,0.575000,0.673000,-0.061000,-0.031000,0.000000
3.366,0.448000,0.578000,1.202000,2.941000,0.131000,1.044000,0.542000,0.413000,3.403000,0.575000,0.738000,-0.092000,-0.031000,0.000000
3.446,0.480000,0.544000,1.236000,2.839000,0.000000,1.044000,0.444000,0.413000,3.337000,0.575000,0.640000,-0.061000,-0.031000,0.031000
3.498,0.448000,0.544000,1.538000,2.941000,0.033000,1.174000,0.423000,0.478000,3.403000,0.640000,0.673000,-0.061000,-0.031000,0.031000
3.558,0.480000,0.578000,1.233000,2.839000,0.033000,1.109000,0.444000,0.413000,3.403000,0.575000,0.673000,-0.092000,-0.062000,0.094000
3.635,0.448000,0.544000,1.332000,2.805000,0.131000,1.077000,0.509000,0.413000,3.470000,0.543000,0.673000,-0.092000,0.000000,0.063000
