Time(s),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
2.220,0.088000,0.067000,0.097000,0.034000,0.000000,0.032000,0.000000,0.000000,0.118000,-0.065000,0.000000,-0.031000,0.031000,-0.062000
2.292,0.088000,0.134000,0.064000,0.367000,0.033000,0.064000,0.118000,-0.032000,0.247000,-0.097000,0.064000,0.000000,0.071000,-0.031000
2.363,0.055000,0.033000,0.229000,0.000000,0.033000,0.064000,-0.032000,0.000000,0.183000,-0.097000,0.000000,0.000000,0.000000,-0.062000
2.406,0.120000,0.067000,0.097000,0.000000,0.033000,0.180000,-0.032000,0.098000,0.150000,-0.032000,0.032000,0.000000,-0.031000,-0.031000
2.460,0.055000,0.067000,0.064000,0.000000,0.066000,0.374000,-0.032000,0.033000,0.183000,-0.097000,0.000000,-0.031000,0.000000,-0.062000
2.616,0.055000,0.067000,0.030000,0.328000,0.164000,0.051000,0.065000,0.000000,0.183000,-0.097000,0.032000,-0.031000,0.031000,-0.031000
2.634,0.055000,0.033000,0.097000,0.034000,0.033000,0.064000,0.000000,0.065000,0.150000,0.065000,-0.033000,0.000000,0.000000,-0.062000
2.727,0.088000,0.033000,0.064000,0.167000,0.033000,0.148000,-0.032000,0.033000,0.215000,-0.097000,-0.033000,0.000000,0.000000,-0.062000
2.773,0.055000,0.067000,0.097000,0.034000,0.066000,0.116000,0.032000,0.000000,0.280000,-0.129000,-0.033000,-0.031000,0.000000,0.095000
2.825,0.055000,0.400000,0.195000,0.067000,0.066000,0.148000,0.032000,0.033000,0.345000,-0.246000,-0.214000,-0.031000,0.000000,0.000000
2.877,0.088000,0.134000,0.064000,0.100000,0.066000,0.245000,0.065000,0.098000,0.528000,0.162000,0.259000,-0.031000,0.164000,-0.031000
2.969,0.088000,0.332000,0.097000,0.362000,0.000000,0.439000,0.150000,0.195000,1.103000,-0.846000,-2.260000,-0.031000,0.031000,0.000000
2.999,0.153000,0.501000,0.161000,0.668000,0.033000,0.588000,0.248000,0.195000,1.770000,0.378000,0.572000,0.092000,0.000000,0.063000
3.073,0.219000,1.039000,0.232000,1.329000,-0.033000,0.912000,0.248000,0.293000,2.386000,0.443000,0.572000,0.000000,0.000000,0.000000
3.125,0.153000,1.039000,0.198000,2.469000,-0.189000,0.977000,0.378000,0.412000,2.740000,-0.472000,-2.387000,-0.031000,0.102000,0.032000
3.181,0.186000,1.477000,0.165000,2.942000,-0.222000,0.977000,0.410000,0.477000,2.740000,0.508000,0.637000,-0.031000,0.000000,0.032000
3.238,0.219000,1.647000,0.232000,3.010000,-0.189000,1.063000,0.443000,0.575000,2.740000,0.033000,0.064000,0.030000,0.000000,0.063000
3.312,0.186000,1.748000,0.232000,3.179000,-0.066000,1.095000,0.476000,0.445000,2.806000,0.703000,0.767000,-0.031000,0.000000,-0.031000
3.376,0.153000,1.884000,0.296000,2.908000,-0.099000,1.030000,0.573000,0.510000,2.938000,0.638000,0.865000,0.000000,0.071000,0.000000
3.434,0.120000,1.884000,0.300000,2.806000,-0.066000,1.063000,0.476000,0.510000,2.905000,0.790000,0.886000,0.000000,-0.031000,0.000000
3.503,0.219000,1.884000,0.333000,2.772000,0.000000,1.160000,0.476000,0.640000,2.938000,0.822000,0.886000,-0.031000,-0.031000,0.000000
3.535,0.120000,1.918000,0.300000,2.704000,0.033000,1.042000,0.541000,0.575000,3.030000,0.757000,0.886000,-0.031000,0.000000,0.000000
3.535,0.153000,1.986000,0.367000,2.704000,0.164000,1.128000,0.606000,0.542000,3.129000,0.888000,1.049000,-0.031000,0.000000,0.000000
3.601,0.153000,1.952000,0.401000,2.670000,0.033000,1.063000,0.508000,0.608000,3.096000,0.888000,0.951000,-0.031000,-0.031000,-0.031000
3.660,0.153000,1.986000,0.398000,2.772000,0.033000,1.095000,0.476000,0.542000,3.129000,0.822000,0.919000,-0.031000,-0.031000,0.000000
3.742,0.120000,2.360000,0.435000,2.603000,0.098000,1.063000,0.541000,0.542000,3.129000,0.855000,0.984000,-0.031000,-0.031000,0.095000
3.793,0.120000,2.326000,0.502000,2.569000,0.164000,1.095000,0.541000,0.575000,3.162000,0.855000,0.984000,-0.062000,-0.031000,0.000000
3.840,0.153000,2.122000,0.401000,2.603000,0.098000,1.160000,0.476000,0.956000,3.162000,0.888000,0.984000,-0.062000,0.102000,-0.031000
3.899,0.120000,2.190000,0.398000,2.571000,0.066000,1.160000,0.508000,0.542000,3.162000,0.855000,0.919000,-0.031000,0.000000,0.000000
3.969,0.219000,2.121000,0.468000,2.569000,0.197000,1.128000,0.508000,0.542000,3.228000,0.855000,0.951000,0.061000,0.000000,0.063000
4.018,0.186000,2.121000,0.468000,2.503000,0.098000,1.160000,0.541000,0.575000,3.228000,0.888000,0.984000,0.000000,0.000000,0.000000
4.079,0.120000,2.224000,0.435000,2.603000,0.066000,1.160000,0.476000,0.575000,3.228000,0.888000,1.082000,0.000000,0.071000,0.000000
4.153,0.153000,2.156000,0.432000,2.537000,0.098000,1.128000,0.476000,0.608000,3.228000,0.920000,1.017000,0.000000,-0.031000,0.032000
4.195,0.219000,2.156000,0.499000,2.503000,0.098000,1.160000,0.508000,0.575000,3.262000,0.985000,0.984000,-0.031000,0.000000,0.032000
4.258,0.186000,2.156000,0.468000,2.503000,0.098000,1.193000,0.541000,0.575000,3.262000,0.920000,1.017000,-0.031000,0.031000,-0.031000
4.341,0.153000,2.258000,0.468000,2.537000,0.131000,1.160000,0.508000,0.575000,3.295000,0.888000,1.017000,0.000000,0.000000,0.000000
4.391,0.120000,2.190000,0.468000,2.503000,0.098000,1.193000,0.508000,0.608000,3.295000,0.953000,1.017000,0.030000,-0.031000,0.000000
4.514,0.219000,2.190000,0.465000,2.503000,0.131000,1.160000,0.476000,0.673000,3.262000,0.953000,1.049000,0.000000,-0.031000,0.000000
4.554,0.153000,2.190000,0.465000,2.469000,0.164000,1.540000,0.541000,0.608000,3.328000,0.920000,1.114000,-0.062000,0.031000,-0.031000
4.643,0.120000,2.224000,0.465000,2.469000,0.131000,1.160000,0.573000,0.608000,3.262000,0.920000,0.984000,-0.031000,0.000000,0.283000
4.692,0.153000,2.190000,0.502000,2.537000,0.131000,1.225000,0.529000,0.673000,3.262000,1.018000,1.017000,-0.031000,-0.031000,-0.031000
4.749,0.153000,2.224000,0.499000,2.503000,0.098000,1.225000,0.508000,0.575000,3.520000,0.888000,1.017000,-0.031000,-0.031000,0.000000
4.822,0.153000,2.190000,0.533000,2.503000,0.197000,1.193000,0.606000,0.575000,3.394000,0.920000,1.017000,-0.031000,0.000000,0.126000
4.866,0.120000,2.224000,0.465000,2.469000,0.164000,1.193000,0.541000,0.608000,3.295000,0.888000,1.049000,0.227000,0.000000,-0.031000
4.951,0.153000,2.292000,0.465000,2.537000,0.164000,1.258000,0.508000,0.705000,3.262000,0.920000,0.984000,-0.031000,0.102000,0.000000
4.993,0.186000,2.224000,0.432000,2.503000,0.131000,1.193000,0.529000,0.575000,3.295000,0.953000,1.017000,-0.031000,0.000000,0.032000
5.046,0.219000,2.497000,0.567000,2.503000,0.255000,1.193000,0.606000,0.575000,3.328000,0.888000,1.017000,0.030000,0.000000,0.032000
5.101,0.120000,2.224000,0.502000,2.469000,0.131000,1.225000,0.541000,0.640000,3.328000,0.920000,1.049000,0.000000,0.031000,0.032000
5.162,0.120000,2.326000,0.499000,2.571000,0.164000,1.225000,0.508000,0.608000,3.328000,0.888000,1.082000,-0.031000,0.031000,0.032000
5.281,0.153000,2.224000,0.499000,2.503000,0.197000,1.193000,0.508000,0.640000,3.328000,0.953000,1.049000,0.030000,0.000000,0.063000
5.285,0.251000,2.258000,0.567000,2.503000,0.197000,1.193000,0.529000,0.640000,3.328000,0.953000,1.017000,0.000000,0.031000,0.000000
5.336,0.186000,2.224000,0.499000,2.503000,0.197000,1.193000,0.573000,0.608000,3.394000,0.920000,1.082000,0.000000,0.071000,0.000000
5.421,0.153000,2.326000,0.499000,2.537000,0.197000,1.193000,0.541000,0.608000,3.394000,0.888000,1.017000,0.000000,0.000000,0.000000
5.472,0.153000,2.258000,0.767000,2.537000,0.197000,1.258000,0.529000,0.673000,3.361000,0.985000,1.049000,0.061000,-0.031000,0.032000
5.472,0.251000,2.258000,0.533000,2.503000,0.197000,1.225000,0.529000,0.640000,3.328000,0.920000,1.082000,0.000000,0.000000,0.032000
5.536,0.186000,2.258000,0.533000,2.503000,0.230000,1.193000,0.606000,0.705000,3.394000,0.920000,1.114000,-0.031000,0.000000,0.000000
5.581,0.186000,2.258000,0.499000,2.503000,0.230000,1.193000,0.606000,0.608000,3.328000,0.953000,1.017000,-0.031000,0.031000,0.000000
5.660,0.186000,2.258000,0.499000,2.537000,0.164000,1.258000,0.562000,0.673000,3.328000,1.051000,1.017000,0.000000,0.031000,0.000000
5.717,0.186000,2.258000,0.567000,2.503000,0.164000,1.258000,0.529000,0.575000,3.361000,0.920000,1.049000,0.000000,0.000000,0.000000
5.766,0.153000,2.258000,0.533000,2.503000,0.230000,1.225000,0.606000,0.640000,3.427000,0.920000,1.082000,-0.031000,0.000000,0.126000
5.808,0.153000,2.292000,0.499000,2.503000,0.197000,1.388000,0.595000,0.640000,3.328000,0.920000,1.082000,-0.031000,0.000000,-0.031000
5.901,0.153000,2.326000,0.804000,2.537000,0.230000,1.291000,0.562000,0.705000,3.328000,0.953000,1.049000,-0.031000,0.102000,0.000000
5.953,0.153000,2.326000,0.533000,2.571000,0.164000,1.193000,0.562000,0.640000,3.586000,0.953000,1.049000,0.000000,0.000000,0.032000
6.012,0.219000,2.258000,0.567000,2.537000,0.288000,1.225000,0.627000,0.608000,3.328000,0.920000,1.049000,0.092000,0.000000,0.063000
6.061,0.153000,2.258000,0.533000,2.469000,0.197000,1.225000,0.573000,0.608000,3.394000,0.953000,1.082000,-0.031000,0.031000,0.000000
6.142,0.153000,2.360000,0.567000,2.571000,0.197000,1.323000,0.529000,0.640000,3.328000,0.920000,1.114000,-0.031000,0.031000,0.032000
6.197,0.153000,2.326000,0.533000,2.503000,0.230000,1.225000,0.562000,0.673000,3.586000,0.953000,1.082000,0.000000,0.000000,0.063000
6.241,0.251000,2.292000,0.598000,2.503000,0.288000,1.193000,0.953000,0.640000,3.328000,1.051000,1.049000,0.061000,0.031000,0.063000
6.302,0.153000,2.258000,0.499000,2.503000,0.164000,1.193000,0.562000,0.608000,3.394000,0.953000,1.114000,0.000000,0.031000,0.000000
6.428,0.153000,2.360000,0.533000,2.503000,0.197000,1.225000,0.541000,0.608000,3.394000,0.985000,1.082000,0.000000,0.000000,0.000000
6.482,0.153000,2.292000,0.533000,2.469000,0.197000,1.258000,0.529000,0.673000,3.361000,0.985000,1.082000,0.030000,0.000000,0.032000
6.547,0.251000,2.258000,0.668000,2.469000,0.230000,1.225000,0.529000,0.705000,3.328000,0.953000,1.082000,-0.031000,0.000000,0.032000
6.602,0.153000,2.292000,0.499000,2.537000,0.263000,1.193000,0.606000,0.640000,3.427000,0.953000,1.147000,-0.031000,0.000000,-0.031000
6.667,0.153000,2.395000,0.533000,2.503000,0.230000,1.193000,0.660000,0.608000,3.328000,0.985000,1.017000,-0.031000,0.031000,0.032000
6.723,0.153000,2.258000,0.533000,2.537000,0.197000,1.258000,0.562000,0.738000,3.361000,1.018000,1.049000,0.030000,-0.031000,0.000000
6.795,0.153000,2.258000,0.533000,2.469000,0.197000,1.258000,0.562000,0.608000,3.361000,0.953000,1.049000,0.000000,0.000000,0.000000
6.842,0.120000,2.258000,0.533000,2.469000,0.263000,1.225000,0.627000,0.640000,3.427000,0.920000,1.082000,-0.031000,-0.031000,0.095000
6.905,0.153000,2.292000,0.567000,2.503000,0.255000,1.193000,0.541000,0.640000,3.328000,0.920000,1.082000,-0.031000,0.000000,-0.031000
6.984,0.373000,2.326000,0.502000,2.537000,0.230000,1.291000,0.529000,0.705000,3.328000,0.953000,1.049000,-0.031000,0.133000,0.000000
7.096,0.153000,2.258000,0.567000,2.569000,0.197000,1.258000,0.562000,0.608000,3.361000,0.985000,1.049000,0.000000,-0.031000,0.000000
7.101,0.219000,2.258000,0.533000,2.537000,0.321000,1.225000,0.627000,0.640000,3.361000,0.953000,1.049000,0.061000,0.000000,0.032000
7.152,0.284000,2.258000,0.533000,2.503000,0.197000,1.225000,0.541000,0.640000,3.394000,0.953000,1.082000,0.000000,0.031000,0.032000
7.205,0.153000,2.326000,0.533000,2.537000,0.230000,1.323000,0.529000,0.640000,3.328000,0.953000,1.114000,0.000000,0.031000,0.032000
7.286,0.153000,2.326000,0.499000,2.503000,0.519000,1.258000,0.595000,0.673000,3.361000,0.985000,1.082000,0.030000,0.000000,0.063000
7.336,0.251000,2.258000,0.567000,2.469000,0.230000,1.193000,0.562000,0.640000,3.328000,1.018000,1.049000,0.061000,0.000000,0.000000
7.388,0.153000,2.258000,0.533000,2.537000,0.230000,1.193000,0.595000,0.640000,3.394000,0.953000,1.114000,0.000000,0.071000,0.000000
7.389,0.186000,2.360000,0.533000,2.503000,0.230000,1.225000,0.562000,0.640000,3.427000,0.953000,1.049000,0.000000,0.000000,0.000000
7.452,0.120000,2.258000,0.533000,2.503000,0.197000,1.258000,0.595000,0.673000,3.394000,1.018000,1.082000,0.061000,0.000000,0.000000
7.515,0.219000,2.258000,0.533000,2.503000,0.230000,1.193000,0.562000,0.705000,3.361000,0.985000,1.082000,-0.062000,0.000000,0.032000
7.564,0.153000,2.292000,0.533000,2.503000,0.263000,1.193000,0.595000,0.640000,3.394000,0.953000,1.147000,-0.031000,0.000000,0.000000
7.621,0.153000,2.292000,0.533000,2.503000,0.230000,1.193000,0.627000,0.608000,3.328000,0.985000,1.049000,-0.031000,0.000000,0.000000
7.704,0.153000,2.292000,0.567000,2.537000,0.197000,1.258000,0.595000,0.705000,3.361000,1.018000,1.049000,0.000000,0.000000,0.000000
7.760,0.120000,2.258000,0.533000,2.503000,0.230000,1.291000,0.529000,0.640000,3.361000,0.920000,1.049000,0.000000,-0.031000,0.000000
7.824,0.120000,2.258000,0.567000,2.503000,0.263000,1.225000,0.627000,0.673000,3.427000,0.953000,1.082000,-0.031000,0.000000,0.095000
7.881,0.153000,2.258000,0.499000,2.503000,0.230000,1.193000,0.541000,0.869000,3.394000,0.953000,1.049000,-0.031000,0.000000,-0.031000
7.920,0.153000,2.326000,0.499000,2.537000,0.230000,1.291000,0.529000,0.705000,3.361000,0.953000,1.049000,-0.031000,0.102000,-0.031000
7.983,0.153000,2.258000,0.499000,2.537000,0.197000,1.225000,0.562000,0.608000,3.361000,0.953000,1.049000,0.000000,-0.031000,0.000000
8.048,0.186000,2.258000,0.567000,2.503000,0.321000,1.225000,0.627000,0.608000,3.394000,0.953000,1.049000,0.030000,-0.031000,0.032000
8.112,0.120000,2.258000,0.598000,2.503000,0.197000,1.225000,0.541000,0.640000,3.394000,0.920000,1.082000,-0.031000,0.000000,0.000000
8.167,0.120000,2.326000,0.533000,2.537000,0.230000,1.323000,0.529000,0.640000,3.361000,0.953000,1.114000,-0.062000,0.031000,0.000000
8.226,0.120000,2.258000,0.533000,2.469000,0.486000,1.193000,0.541000,0.673000,3.361000,0.953000,1.049000,0.030000,0.000000,0.032000
